condition,fold,state,detector_seed,perturbation_seed,parent_key,mlp_triggered,mlp_emit_step,attack_frames,task_success,n_steps,teacher_anchor,summary_sha256
CLEAN,fold_09,state_1,det_seed_3,pert_seed_1,fold_09/state_1,True,76,0,True,132,72,89f41042e9044576
CLEAN,fold_09,state_1,det_seed_3,pert_seed_2,fold_09/state_1,True,76,0,True,132,72,89f41042e9044576
COMMAND_OPEN_ORACLE_T10,fold_01,state_0,det_seed_1,pert_seed_0,fold_01/state_0,True,98,10,False,400,97,e8f8ef53ef8c6535
COMMAND_OPEN_ORACLE_T10,fold_01,state_0,det_seed_1,pert_seed_1,fold_01/state_0,True,98,10,False,400,97,e8f8ef53ef8c6535
COMMAND_OPEN_ORACLE_T10,fold_01,state_0,det_seed_1,pert_seed_2,fold_01/state_0,True,98,10,False,400,97,e8f8ef53ef8c6535
COMMAND_OPEN_ORACLE_T10,fold_01,state_0,det_seed_2,pert_seed_0,fold_01/state_0,True,99,10,False,400,97,d2a24804e14d35a3
COMMAND_OPEN_ORACLE_T10,fold_01,state_0,det_seed_2,pert_seed_1,fold_01/state_0,True,99,10,False,400,97,d2a24804e14d35a3
COMMAND_OPEN_ORACLE_T10,fold_01,state_0,det_seed_2,pert_seed_2,fold_01/state_0,True,99,10,False,400,97,d2a24804e14d35a3
COMMAND_OPEN_ORACLE_T10,fold_01,state_0,det_seed_3,pert_seed_0,fold_01/state_0,True,99,10,False,400,97,14db33bbf3088a89
COMMAND_OPEN_ORACLE_T10,fold_01,state_0,det_seed_3,pert_seed_1,fold_01/state_0,True,99,10,False,400,97,14db33bbf3088a89
COMMAND_OPEN_ORACLE_T10,fold_01,state_0,det_seed_3,pert_seed_2,fold_01/state_0,True,99,10,False,400,97,14db33bbf3088a89
COMMAND_OPEN_ORACLE_T10,fold_01,state_2,det_seed_1,pert_seed_0,fold_01/state_2,True,76,10,False,400,75,a0123e1c3cfe1895
COMMAND_OPEN_ORACLE_T10,fold_01,state_2,det_seed_1,pert_seed_1,fold_01/state_2,True,76,10,False,400,75,a0123e1c3cfe1895
COMMAND_OPEN_ORACLE_T10,fold_01,state_2,det_seed_1,pert_seed_2,fold_01/state_2,True,76,10,False,400,75,a0123e1c3cfe1895
COMMAND_OPEN_ORACLE_T10,fold_01,state_2,det_seed_2,pert_seed_0,fold_01/state_2,True,76,10,False,400,75,aa9f39532c799de2
COMMAND_OPEN_ORACLE_T10,fold_01,state_2,det_seed_2,pert_seed_1,fold_01/state_2,True,76,10,False,400,75,aa9f39532c799de2
COMMAND_OPEN_ORACLE_T10,fold_01,state_2,det_seed_2,pert_seed_2,fold_01/state_2,True,76,10,False,400,75,aa9f39532c799de2
