task,state_id,n_csv,n_live,n_frozen,count_ok,step_mismatches,abstain_mismatches,feat_mismatches,max_feat_diff,score_mismatches,max_score_diff,emit_match,live_emit,frozen_emit
ketchup,24,14,14,14,True,0,0,0,1.000000000001e-06,7,7.000000000000062e-06,True,62,62
ketchup,28,1,1,1,True,0,0,0,1.7313766479469766e-09,0,0.0,True,61,61
ketchup,30,4,4,4,True,0,0,0,1.000000000001e-06,3,7.999999999997592e-06,True,52,52
ketchup,31,2,2,2,True,0,0,0,4.983949661255819e-09,0,0.0,True,52,52
ketchup,34,2,2,2,True,0,0,0,1.0000000000001327e-06,2,1.1000000000000593e-05,True,-1,-1
ketchup,37,28,28,28,True,0,0,2,2.0000000000002655e-06,15,1.4000000000000123e-05,True,3,3
ketchup,42,2,2,2,True,0,0,0,1.0000000000001327e-06,1,1.1999999999999858e-05,True,-1,-1
milk,2,10,10,10,True,0,0,0,1.9999999999998318e-06,7,9.000000000002062e-06,True,67,67
milk,7,2,2,2,True,0,0,0,1.0000000000001327e-06,1,3.0000000000030003e-06,True,47,47
milk,9,7,7,7,True,0,0,0,1.000000000001e-06,4,1.5999999999988246e-05,True,49,49
milk,10,23,23,23,True,0,0,0,1.000000000001e-06,13,1.1000000000011001e-05,True,11,11
milk,11,2,2,2,True,0,0,0,1.0000000000001327e-06,0,0.0,True,57,57
milk,12,1,1,1,True,0,0,0,1.000000000001e-06,1,4.999999999977245e-06,True,50,50
milk,15,2,2,2,True,0,0,0,4.317531585696461e-09,0,0.0,True,39,39
milk,27,3,3,3,True,0,0,0,1.9999999999998318e-06,2,1.2000000000012001e-05,True,53,53
milk,30,1,1,1,True,0,0,0,1.000000000001e-06,1,1.3999999999986246e-05,True,43,43
milk,31,2,2,2,True,0,0,0,1.0000000000001327e-06,2,8.000000000008e-06,True,40,40
milk,36,1,1,1,True,0,0,0,1.9999999999998318e-06,1,7.99999999995249e-06,True,51,51
milk,40,1,1,1,True,0,0,0,1.9225120544738138e-10,0,0.0,True,47,47
orange_juice,8,1,1,1,True,0,0,0,4.500093460083667e-09,0,0.0,True,42,42
orange_juice,10,0,0,0,True,0,0,0,0.0,0,0.0,True,-1,-1
orange_juice,13,2,2,2,True,0,0,1,2.0000000000000486e-06,2,1.2000000000012001e-05,True,58,58
orange_juice,16,1,1,1,True,0,0,0,2.0158195495609466e-09,0,0.0,True,53,53
orange_juice,25,2,2,2,True,0,0,0,2.614564895629855e-09,0,0.0,True,228,228
