job_id,pair_id,task,state_id,condition,env_seed,attack_seed,window_start,window_end,window_size,n_total_steps,infra_status,decoded_open_count,longest_streak,qpos_delta,success,valid,is_retry
520159,k5c_sentinel_milk_gold,milk,0,random_linf,0,4,70,80,11,85,ok,0,0,0.02377,0,True,False
520053,k5c_cmd_tomato_early,tomato_sauce,0,random_linf,0,1,50,60,11,65,ok,2,1,0.000739,0,True,False
520093,k5c_cmd_alpha,alphabet_soup,0,random_linf,0,1,65,75,11,80,ok,7,3,0.043256,0,True,False
520044,k5c_rand_alpha,alphabet_soup,0,vis_pgd,0,2,55,65,11,70,ok,6,4,0.039479,0,True,False
520008,k5c_rand_butter1,butter,0,vis_pgd,0,4,90,100,11,105,ok,7,5,0.050449,0,True,False
520120,k5c_phys_tomato,tomato_sauce,2,vis_pgd,2,0,85,95,11,100,ok,7,6,0.047268,0,True,False
520126,k5c_phys_tomato,tomato_sauce,2,vis_pgd,2,3,85,95,11,100,ok,2,2,0.000759,0,True,False
520041,k5c_rand_alpha,alphabet_soup,0,random_linf,0,0,55,65,11,70,ok,3,2,0.030122,0,True,False
520068,k5c_cmd_milk_neg,milk,0,vis_pgd,0,4,235,245,11,250,ok,11,11,0.071312,0,True,False
520136,k5c_phys_salad,salad_dressing,2,vis_pgd,2,3,75,85,11,90,ok,4,3,0.052919,0,True,False
520133,k5c_phys_salad,salad_dressing,2,random_linf,2,1,75,85,11,90,ok,0,0,0.066275,0,True,False
520094,k5c_cmd_alpha,alphabet_soup,0,vis_pgd,0,2,65,75,11,80,ok,4,2,0.014189,0,True,False
520018,k5c_rand_butter2,butter,0,vis_pgd,0,4,95,105,11,110,ok,4,2,0.031611,0,True,False
520154,k5c_sentinel_milk_gold,milk,0,vis_pgd,0,2,70,80,11,85,ok,11,11,0.048726,0,True,False
520153,k5c_sentinel_milk_gold,milk,0,random_linf,0,1,70,80,11,85,ok,0,0,0.011687,0,True,False
520047,k5c_rand_alpha,alphabet_soup,0,random_linf,0,3,55,65,11,70,ok,0,0,0.008312,0,True,False
520075,k5c_cmd_cream,cream_cheese,1,random_linf,1,2,85,95,11,100,ok,3,2,0.015627,0,True,False
