task,state_id,steps,success,has_privileged,has_rgb,run_dir
orange_juice,2,143,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_state2
orange_juice,3,142,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_state3
orange_juice,4,153,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_state4
orange_juice,5,290,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_state5
orange_juice,6,144,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_state6
orange_juice,7,200,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_state7
orange_juice,8,118,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_state8
orange_juice,9,290,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_state9
salad_dressing,0,131,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_state0
salad_dressing,1,134,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_state1
salad_dressing,2,121,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_state2
salad_dressing,3,137,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_state3
salad_dressing,4,128,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_state4
salad_dressing,5,169,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_state5
salad_dressing,6,154,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_state6
salad_dressing,7,148,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_state7
salad_dressing,8,114,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_state8
salad_dressing,9,290,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_state9
tomato_sauce,0,219,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_state0
tomato_sauce,1,195,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_state1
tomato_sauce,2,178,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_state2
tomato_sauce,3,151,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_state3
tomato_sauce,4,172,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_state4
tomato_sauce,5,176,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_state5
tomato_sauce,6,159,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_state6
tomato_sauce,7,290,False,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_state7
tomato_sauce,8,142,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_state8
tomato_sauce,9,150,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_state9
